Layers,Result,Rate,Iterations
"(3,)",0.7759694145563525,0.6000000000000001,10
"(3,)",0.7773022101423844,0.7000000000000002,10
"(3,)",0.7825074530937254,0.3,50
"(3,)",0.7765496035906786,0.4,50
"(3,)",0.8008552339998338,0.5,50
"(3,)",0.771214366383909,0.6000000000000001,50
"(3,)",0.8107916340785899,0.7000000000000002,50
"(3,)",0.7889647067283984,0.3,100
"(3,)",0.7207264105290421,0.4,100
"(3,)",0.7846684418122712,0.5,100
"(3,)",0.7771397447631061,0.6000000000000001,100
"(3,)",0.788395649158492,0.7000000000000002,100
"(3,)",0.7556396179841888,0.3,500
"(3,)",0.7969704271971627,0.4,500
"(3,)",0.7732912359260177,0.5,500
"(3,)",0.7647963841713843,0.6000000000000001,500
"(3,)",0.795637990979816,0.7000000000000002,500
"(3,)",0.7907569104756899,0.3,1000
"(3,)",0.7856037383345418,0.4,1000
"(3,)",0.789087619410846,0.5,1000
"(3,)",0.7682498855258276,0.6000000000000001,1000
"(3,)",0.7697773747580249,0.7000000000000002,1000
"(3,)",0.7516258314541047,0.3,5000
"(3,)",0.7921676171676173,0.4,5000
"(3,)",0.7709684932789772,0.5,5000
"(3,)",0.7797253814181363,0.6000000000000001,5000
"(3,)",0.7694326614721352,0.7000000000000002,5000
"(3,)",0.7611916781835888,0.3,10000
"(3,)",0.7545369814783048,0.4,10000
"(3,)",0.7964814689316587,0.5,10000
"(3,)",0.7604387179981407,0.6000000000000001,10000
"(3,)",0.7883259250790772,0.7000000000000002,10000
"(4,)",0.47339965413865687,0.3,1
"(4,)",0.5310850526640001,0.4,1
"(4,)",0.5021775534403904,0.5,1
"(4,)",0.4606802571308348,0.6000000000000001,1
"(4,)",0.49292810937868703,0.7000000000000002,1
"(4,)",0.7977196804228387,0.3,5
"(4,)",0.8032340563277629,0.4,5
"(4,)",0.7794499394892102,0.5,5
"(4,)",0.8134307386379478,0.6000000000000001,5
"(4,)",0.8051708506746337,0.7000000000000002,5
"(4,)",0.811952293423506,0.3,10
"(4,)",0.760510865409803,0.4,10
"(4,)",0.8265916187269806,0.5,10
"(4,)",0.768659113473702,0.6000000000000001,10
"(4,)",0.8035599363195086,0.7000000000000002,10
"(4,)",0.7600230493090365,0.3,50
"(4,)",0.8158482677156936,0.4,50
"(4,)",0.7808705512726908,0.5,50
"(4,)",0.7843596297732457,0.6000000000000001,50
"(4,)",0.763261699314331,0.7000000000000002,50
"(4,)",0.8076994597667637,0.3,100
"(4,)",0.7774208010706813,0.4,100
"(4,)",0.7837532757315703,0.5,100
"(4,)",0.7788915002311338,0.6000000000000001,100
"(4,)",0.7931808790229977,0.7000000000000002,100
"(4,)",0.7886386098009524,0.3,500
"(4,)",0.7483614933614934,0.4,500
"(4,)",0.7727000484302715,0.5,500
"(4,)",0.7574470355306518,0.6000000000000001,500
"(4,)",0.7837598855564035,0.7000000000000002,500
"(4,)",0.7806821475431532,0.3,1000
"(4,)",0.7411168938373167,0.4,1000
"(4,)",0.7847745544510784,0.5,1000
"(4,)",0.7538042091551499,0.6000000000000001,1000
"(4,)",0.7809098599912614,0.7000000000000002,1000
"(4,)",0.7843928958222127,0.3,5000
"(4,)",0.7662450241166944,0.4,5000
"(4,)",0.7633495684081776,0.5,5000
"(4,)",0.7876713823274953,0.6000000000000001,5000
"(4,)",0.7393299872430308,0.7000000000000002,5000
"(4,)",0.7751531832157363,0.3,10000
"(4,)",0.7653762906542267,0.4,10000
"(4,)",0.7830449354036779,0.5,10000
"(4,)",0.7878481545766429,0.6000000000000001,10000
"(4,)",0.7897165107483568,0.7000000000000002,10000
"(5,)",0.4665813808609059,0.3,1
"(5,)",0.47098381549641255,0.4,1
"(5,)",0.4108947552272328,0.5,1
"(5,)",0.4237341373332086,0.6000000000000001,1
"(5,)",0.5017432634550514,0.7000000000000002,1
"(5,)",0.8036828651965567,0.3,5
"(5,)",0.8025934554490494,0.4,5
"(5,)",0.8011476724909048,0.5,5
"(5,)",0.7731212711162999,0.6000000000000001,5
"(5,)",0.7777802353429795,0.7000000000000002,5
"(5,)",0.8352677061500591,0.3,10
"(5,)",0.7794634236415955,0.4,10
"(5,)",0.7799962936508772,0.5,10
"(5,)",0.7875231859987827,0.6000000000000001,10
"(5,)",0.7747302404254401,0.7000000000000002,10
"(5,)",0.7790890252063851,0.3,50
"(5,)",0.7712404053188254,0.4,50
"(5,)",0.7968954390320089,0.5,50
"(5,)",0.7596928926632598,0.6000000000000001,50
"(5,)",0.8131015563245733,0.7000000000000002,50
"(5,)",0.8026292916971286,0.3,100
"(5,)",0.7560760331790278,0.4,100
"(5,)",0.7653075826447103,0.5,100
"(5,)",0.7758905373297508,0.6000000000000001,100
"(5,)",0.7825396081523619,0.7000000000000002,100
"(5,)",0.7667409264850653,0.3,500
"(5,)",0.7634834931826687,0.4,500
"(5,)",0.7625128346223681,0.5,500
"(5,)",0.7492735573475335,0.6000000000000001,500
"(5,)",0.793411469192426,0.7000000000000002,500
"(5,)",0.7500841488462581,0.3,1000
"(5,)",0.7887671525171525,0.4,1000
"(5,)",0.7464300536337922,0.5,1000
"(5,)",0.7645178126264898,0.6000000000000001,1000
"(5,)",0.7479067169371203,0.7000000000000002,1000
"(5,)",0.7995266774288513,0.3,5000
"(5,)",0.7562556218778259,0.4,5000
"(5,)",0.781046790364406,0.5,5000
"(5,)",0.776210633373316,0.6000000000000001,5000
"(5,)",0.7770169185798054,0.7000000000000002,5000
"(5,)",0.785916537850287,0.3,10000
"(5,)",0.7720619082928686,0.4,10000
"(5,)",0.7792791540817857,0.5,10000
"(5,)",0.7831027370052226,0.6000000000000001,10000
"(5,)",0.7719527088153908,0.7000000000000002,10000
"(6,)",0.5229889771995035,0.3,1
"(6,)",0.4905194101177145,0.4,1
"(6,)",0.41332982978040744,0.5,1
"(6,)",0.4722070636576413,0.6000000000000001,1
"(6,)",0.39826317627986435,0.7000000000000002,1
"(6,)",0.7960286495153582,0.3,5
"(6,)",0.777738125170067,0.4,5
"(6,)",0.7926911658790433,0.5,5
"(6,)",0.7622530196541267,0.6000000000000001,5
"(6,)",0.765386409200348,0.7000000000000002,5
"(6,)",0.7856254555928859,0.3,10
"(6,)",0.7779257131213467,0.4,10
"(6,)",0.7707655876989742,0.5,10
"(6,)",0.7751080361450184,0.6000000000000001,10
"(6,)",0.7831464618086177,0.7000000000000002,10
"(6,)",0.7627748349349607,0.3,50
"(6,)",0.7745646157465578,0.4,50
"(6,)",0.7709183045719084,0.5,50
"(6,)",0.788288918578852,0.6000000000000001,50
"(6,)",0.8146176169135417,0.7000000000000002,50
"(6,)",0.7752178399088393,0.3,100
"(6,)",0.8081302266367716,0.4,100
"(6,)",0.7628395288921604,0.5,100
"(6,)",0.7549688715784452,0.6000000000000001,100
"(6,)",0.7611361500497463,0.7000000000000002,100
"(6,)",0.7862989607719777,0.3,500
"(6,)",0.7737781849537068,0.4,500
"(6,)",0.7285877751721166,0.5,500
"(6,)",0.7749218130994581,0.6000000000000001,500
"(6,)",0.7681266103983513,0.7000000000000002,500
"(6,)",0.7588070200668378,0.3,1000
"(6,)",0.7352238160848218,0.4,1000
"(6,)",0.7931483687324846,0.5,1000
"(6,)",0.7201371462095825,0.6000000000000001,1000
"(6,)",0.7556493353839089,0.7000000000000002,1000
"(6,)",0.7482367387312338,0.3,5000
"(6,)",0.7463714831599082,0.4,5000
"(6,)",0.7761067021598674,0.5,5000
"(6,)",0.7726801607073343,0.6000000000000001,5000
"(6,)",0.7577208845743566,0.7000000000000002,5000
"(6,)",0.7890282177421397,0.3,10000
"(6,)",0.7577480804363858,0.4,10000
"(6,)",0.7566958670137038,0.5,10000
"(6,)",0.7677551502518205,0.6000000000000001,10000
"(6,)",0.7695236823990911,0.7000000000000002,10000
"(7,)",0.45627487218629714,0.3,1
"(7,)",0.48302907578260595,0.4,1
"(7,)",0.5302131585026322,0.5,1
"(7,)",0.5347672791173912,0.6000000000000001,1
"(7,)",0.42681011168174204,0.7000000000000002,1
"(7,)",0.787331196770925,0.3,5
"(7,)",0.7888843810230728,0.4,5
"(7,)",0.790083159985016,0.5,5
"(7,)",0.7781694677653681,0.6000000000000001,5
"(7,)",0.7931076438463431,0.7000000000000002,5
"(7,)",0.784516919917494,0.3,10
